scene,frame,sample_token,track_id,class,distance_m,object_speed_mps,ego_speed_mps,closing_speed_mps,ttc_s,tcpa_s,dcpa_m,risk_level,score,hits
scene-0103,2,c5f58c19249d4137ae063b0e9ecd8b8e,6,pedestrian,14.168939462794777,0.6738391529082993,8.404707188578461,6.4145296474747315,2.2088820601792367,1.1035966776491464,10.02278222251102,SAFE,0.3457931578159332,3
scene-0103,2,c5f58c19249d4137ae063b0e9ecd8b8e,7,pedestrian,11.094104972115561,0.8512522201747336,8.404707188578461,7.609326149407456,1.4579615532683492,0.9904209710074314,6.282447841787221,SAFE,0.3195453882217407,3
scene-0103,2,c5f58c19249d4137ae063b0e9ecd8b8e,9,pedestrian,8.473189550745705,0.8949629445911446,8.404707188578461,-5.2543951718722255,,0.0,8.473189550745705,SAFE,0.3594939708709717,3
scene-0103,3,700c1a25559b4433be532de3475e58a9,6,pedestrian,11.375810856603414,0.9648376219108147,8.35013135837765,4.029456148391608,2.823162838276368,0.5284762130585778,10.255954615046635,SAFE,0.43492332100868225,4
scene-0103,3,700c1a25559b4433be532de3475e58a9,13,car,40.939406838526686,4.2483530364848985,8.35013135837765,4.032480495294434,10.152412860099268,9.440381283898386,10.841928465089135,SAFE,0.4567672908306122,3
scene-0103,3,700c1a25559b4433be532de3475e58a9,17,pedestrian,20.249006083022564,0.8692945989566462,8.35013135837765,6.674244687892973,3.033902266087742,2.4145824943675316,9.148721140507474,SAFE,0.4598444104194641,3
scene-0103,3,700c1a25559b4433be532de3475e58a9,18,pedestrian,18.19662375847347,0.8680254946219755,8.35013135837765,8.390209047425504,2.1687926552982635,1.7998524724190899,7.505156935902105,SAFE,0.3097253143787384,3
scene-0103,4,747aa46b9a4641fe90db05d97db2acea,6,pedestrian,10.392170390675451,1.1059607540861132,8.453812333587466,-0.22466884885999328,,0.0,10.392170390675451,SAFE,0.31754475831985474,5
scene-0103,4,747aa46b9a4641fe90db05d97db2acea,7,pedestrian,6.01077723314738,0.9697525168536486,8.453812333587466,-0.6122989088068147,,0.0,6.01077723314738,SAFE,0.37892475724220276,4
scene-0103,4,747aa46b9a4641fe90db05d97db2acea,9,pedestrian,14.17183763962161,0.9196334875335833,8.453812333587466,-6.7999185568823775,,0.0,14.17183763962161,SAFE,0.3141261041164398,4
